               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.023899,            0.035122,           0.0054118,              0.9702,             0.97816,             0.98031,             0.75006,            0.022658,            0.033119,           0.0033105,           0.0058024,           0.0058024,           0.0058024
                 108,            0.023696,             0.03418,           0.0053466,             0.96992,             0.98076,             0.98251,              0.7521,            0.022638,            0.032494,            0.003431,           0.0057628,           0.0057628,           0.0057628
                 109,            0.023694,            0.033912,           0.0052565,             0.97057,             0.98278,             0.98227,             0.74371,            0.022625,            0.032356,           0.0032411,           0.0057232,           0.0057232,           0.0057232
                 110,            0.024149,            0.034147,           0.0055731,             0.97297,             0.97838,             0.98331,             0.74929,            0.022679,              0.0327,           0.0032948,           0.0056836,           0.0056836,           0.0056836
                 111,            0.024081,            0.034748,           0.0053891,               0.972,             0.97468,             0.98242,             0.75123,            0.022675,            0.032501,            0.003265,            0.005644,            0.005644,            0.005644
                 112,            0.023618,            0.034037,           0.0053962,             0.97116,              0.9795,             0.98089,             0.75358,            0.022483,            0.032282,           0.0031379,           0.0056044,           0.0056044,           0.0056044
                 113,             0.02353,            0.035164,           0.0054328,             0.97538,             0.97874,             0.98291,             0.74995,            0.022716,            0.032639,             0.00322,           0.0055648,           0.0055648,           0.0055648
                 114,             0.02341,            0.033319,            0.005191,             0.97096,             0.98333,             0.98254,             0.75342,            0.022681,            0.033386,           0.0031892,           0.0055252,           0.0055252,           0.0055252
                 115,            0.023746,            0.034563,           0.0051976,             0.97213,             0.98208,             0.98301,             0.75263,            0.022621,            0.032867,           0.0031806,           0.0054856,           0.0054856,           0.0054856
                 116,            0.023587,            0.034471,           0.0051559,             0.96903,             0.97844,             0.98284,             0.74947,            0.022612,             0.03241,           0.0031567,            0.005446,            0.005446,            0.005446
                 117,             0.02374,            0.033665,           0.0052744,             0.97166,             0.97749,             0.98275,             0.74931,            0.022694,            0.032705,           0.0032232,           0.0054064,           0.0054064,           0.0054064
                 118,            0.023571,            0.033567,           0.0053344,             0.96888,             0.98132,             0.98126,             0.74716,            0.023074,            0.033154,           0.0031232,           0.0053668,           0.0053668,           0.0053668
                 119,            0.023327,              0.0346,           0.0052601,             0.96957,             0.97726,             0.98088,             0.74566,            0.022986,            0.033417,             0.00321,           0.0053272,           0.0053272,           0.0053272
                 120,             0.02353,            0.034066,           0.0053541,             0.97151,             0.97556,             0.98221,             0.74665,            0.022772,             0.03298,           0.0032885,           0.0052876,           0.0052876,           0.0052876
                 121,            0.023558,            0.033652,           0.0052615,             0.97401,             0.97356,             0.98056,             0.74574,            0.023084,             0.03336,           0.0033335,            0.005248,            0.005248,            0.005248
                 122,            0.023723,            0.033947,           0.0051959,             0.97019,             0.97821,             0.98094,             0.74047,            0.022998,            0.033499,           0.0032053,           0.0052084,           0.0052084,           0.0052084
                 123,            0.023184,            0.033596,           0.0052566,             0.97369,             0.98132,               0.982,              0.7495,            0.022697,            0.033091,           0.0030857,           0.0051688,           0.0051688,           0.0051688
                 124,            0.023632,            0.033833,           0.0054338,             0.97152,             0.97671,             0.98249,             0.74826,            0.023191,            0.033466,           0.0031982,           0.0051292,           0.0051292,           0.0051292
                 125,            0.023554,            0.033928,           0.0053803,              0.9737,             0.98128,             0.98208,              0.7523,            0.022606,            0.032557,           0.0030973,           0.0050896,           0.0050896,           0.0050896
