               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.020178,           0.0091114,                   0,             0.93602,             0.91452,              0.9467,             0.81036,            0.012669,           0.0031891,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.021182,           0.0099465,                   0,             0.90811,             0.92673,             0.94944,             0.74977,            0.014804,           0.0034515,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.017375,           0.0090581,                   0,             0.96761,             0.93367,             0.96504,             0.76453,            0.012244,           0.0034393,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.020038,           0.0091329,                   0,              0.9348,             0.89625,             0.93631,              0.7949,            0.014181,           0.0034904,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.019679,           0.0097404,                   0,             0.90528,              0.9375,             0.94939,             0.80655,            0.013482,            0.003435,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.015088,           0.0084741,                   0,             0.88548,              0.9666,             0.95851,             0.82114,            0.010257,           0.0031602,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.017375,            0.008609,                   0,             0.90131,              0.9375,             0.95619,             0.84745,            0.010655,           0.0031056,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,             0.01776,           0.0089405,                   0,             0.96745,             0.92916,             0.94786,             0.81952,            0.012586,           0.0033477,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.016376,           0.0084222,                   0,              0.9371,             0.93124,             0.95796,             0.83523,            0.012107,            0.003141,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.020421,            0.008916,                   0,             0.88418,             0.95449,             0.95573,             0.84704,            0.014743,           0.0031351,                   0,            0.005545,            0.005545,            0.005545
                  92,             0.01587,           0.0085493,                   0,             0.96771,              0.9366,             0.96455,             0.79015,            0.012663,           0.0031487,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.020823,           0.0093206,                   0,             0.96769,             0.93611,             0.96147,             0.78747,             0.01362,           0.0031112,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.017212,           0.0083188,                   0,             0.89981,             0.96875,             0.95996,             0.83378,            0.013086,           0.0027744,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.017764,           0.0088344,                   0,             0.95077,             0.96875,             0.98058,             0.78231,            0.012219,           0.0029701,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.015222,           0.0080836,                   0,             0.96869,             0.96676,              0.9672,             0.84481,            0.012216,           0.0031645,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.020233,           0.0092252,                   0,             0.96167,             0.96875,             0.97386,             0.84098,            0.011884,           0.0030594,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.017498,           0.0090162,                   0,             0.96478,             0.96875,             0.98868,             0.86845,            0.010372,            0.002748,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.017641,           0.0092911,                   0,                   1,             0.96095,             0.98786,             0.84803,             0.01042,           0.0027539,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.014166,           0.0082485,                   0,             0.96338,              0.9375,             0.98424,             0.83876,            0.011347,            0.002927,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.015062,           0.0091582,                   0,             0.91171,             0.96814,             0.97546,             0.84209,           0.0094916,           0.0029995,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.016528,           0.0082215,                   0,             0.93648,             0.92163,             0.97173,             0.84737,           0.0098431,           0.0031952,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.019713,           0.0088617,                   0,             0.89378,             0.90625,              0.9428,             0.79258,            0.010438,           0.0034344,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.019138,           0.0081945,                   0,              0.9274,               0.875,             0.95203,             0.81304,            0.011036,           0.0032284,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,             0.01808,           0.0087503,                   0,             0.93262,             0.86534,             0.95351,             0.83674,            0.013606,           0.0032188,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.016524,            0.009437,                   0,             0.89466,              0.9375,             0.95691,             0.80766,            0.014311,           0.0032693,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.016975,           0.0083655,                   0,             0.94709,             0.90625,             0.96819,             0.80385,            0.013721,           0.0034476,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.017419,           0.0078584,                   0,             0.96657,             0.90356,             0.97718,             0.81205,            0.014741,           0.0031708,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.014158,           0.0077082,                   0,                   1,             0.86449,             0.98182,             0.82863,            0.012404,           0.0030752,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.016275,           0.0083635,                   0,             0.96539,             0.87175,             0.97016,             0.83938,            0.011491,           0.0030675,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.016991,           0.0090161,                   0,                0.93,             0.96875,             0.98046,             0.85174,           0.0096736,           0.0030437,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.018038,            0.009177,                   0,             0.90525,              0.9375,             0.96839,             0.83942,           0.0098023,           0.0030185,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.014202,           0.0078211,                   0,             0.93512,             0.90089,             0.96282,             0.83401,            0.009837,             0.00296,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.018095,           0.0088367,                   0,             0.93306,              0.8713,             0.95932,             0.84365,            0.008938,           0.0029426,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.019845,           0.0092606,                   0,             0.94437,             0.84375,             0.95807,             0.82294,            0.010077,           0.0029224,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.014098,           0.0076689,                   0,             0.92756,               0.875,             0.95772,             0.81183,            0.011545,           0.0029435,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,             0.01528,           0.0079471,                   0,             0.96107,             0.90625,              0.9697,             0.84149,            0.011903,           0.0028367,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.014738,           0.0073576,                   0,             0.96766,             0.93525,              0.9658,             0.83431,            0.013275,           0.0029314,                   0,           0.0042085,           0.0042085,           0.0042085
